id_transacao,data_venda,usuario_id,vinho_id,nome_vinho,tipo_vinho,pais_origem,regiao_vinho,safra,preco_unitario,quantidade,valor_linha,canal_venda,uf_cliente,cidade_cliente,segmento_cliente,forma_pagamento,nota_giulio,dias_desde_cadastro,qtd_pedidos_anteriores,qtd_favoritos,frete_gratis,mes_venda,dia_semana,idade_safra_anos,venda_sucesso
40,2025-03-31,6,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,Marketplace Parceiro,SC,Florianopolis,Novo,Cartao Debito,3,731,0,3,0,4,Terca,4,1
41,2025-03-13,10,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,Marketplace Parceiro,SP,Sao Paulo,Novo,Cartao Debito,4,899,0,5,1,3,Sexta,7,1
42,2024-11-20,2,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Evento Degustacao,RJ,Niteroi,Recorrente,Cartao Debito,5,343,5,5,1,11,Quinta,11,1
43,2024-07-11,9,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,3,930.00,Instagram,PE,Recife,Recorrente,PIX,4,410,6,0,1,7,Quinta,8,1
44,2024-07-31,18,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,1,420.00,Evento Degustacao,PE,Recife,Novo,Boleto,4,620,0,2,0,7,Quarta,7,0
45,2024-06-18,4,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,1,890.00,Evento Degustacao,RS,Gramado,Premium,Cartao Debito,5,815,11,1,1,6,Terca,10,1
46,2024-08-07,1,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Marketplace Parceiro,SP,Sao Paulo,Novo,Cartao Credito,5,477,0,4,1,8,Quarta,11,1
47,2024-10-22,24,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,4,3560.00,Marketplace Parceiro,SC,Florianopolis,Recorrente,PIX,5,401,23,2,1,10,Quarta,10,1
48,2025-03-29,2,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,2,620.00,Site Vinheria,RJ,Niteroi,Recorrente,Cartao Credito,4,343,5,5,1,3,Domingo,8,1
49,2024-02-17,23,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,2,300.00,Instagram,PR,Curitiba,Premium,PIX,3,243,16,5,0,2,Domingo,4,0
50,2024-03-28,7,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,3,2340.00,Marketplace Parceiro,DF,Brasilia,Premium,Cartao Credito,5,668,2,3,1,3,Sexta,9,1
51,2025-05-03,9,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Site Vinheria,PE,Recife,Recorrente,Boleto,5,410,6,0,1,5,Sabado,9,0
52,2024-04-09,25,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,6,900.00,Instagram,DF,Brasilia,Corporativo,PIX,3,293,20,5,1,4,Terca,4,1
53,2025-03-29,14,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,3,450.00,Site Vinheria,PR,Curitiba,Novo,PIX,3,413,0,1,0,3,Domingo,4,1
54,2024-03-06,12,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,WhatsApp Giulio,MG,Uberlandia,Recorrente,PIX,3,343,7,2,0,3,Quinta,4,1
55,2024-10-03,30,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,1,180.00,Evento Degustacao,MG,Uberlandia,Recorrente,Cartao Credito,4,847,4,2,0,10,Quinta,6,1
56,2024-08-21,10,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,1,560.00,Evento Degustacao,SP,Sao Paulo,Novo,Boleto,5,899,0,5,1,8,Quarta,12,0
57,2025-02-18,13,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Site Vinheria,RS,Porto Alegre,Recorrente,Cartao Debito,5,332,2,3,1,2,Quarta,9,1
58,2025-04-22,26,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,1,420.00,Evento Degustacao,BA,Salvador,Premium,Cartao Credito,4,506,20,3,0,4,Terca,7,1
59,2025-01-20,26,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,WhatsApp Giulio,BA,Salvador,Premium,Cartao Debito,4,506,20,3,1,1,Terca,7,1
60,2024-11-21,2,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,3,1680.00,Instagram,RJ,Niteroi,Recorrente,Cartao Debito,5,343,5,5,1,11,Sexta,12,1
61,2024-04-23,20,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,2,360.00,Marketplace Parceiro,RJ,Niteroi,Premium,Cartao Debito,4,92,1,0,0,4,Terca,6,1
62,2025-02-18,22,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,1,560.00,WhatsApp Giulio,RS,Gramado,Recorrente,PIX,5,98,24,2,1,2,Quarta,12,1
63,2024-07-27,30,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,2,2500.00,Site Vinheria,MG,Uberlandia,Recorrente,Cartao Debito,5,847,4,2,1,7,Sabado,11,1
64,2025-03-24,9,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,1,180.00,Site Vinheria,PE,Recife,Recorrente,Cartao Debito,4,410,6,0,0,3,Terca,6,1
65,2024-02-27,15,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,3,1680.00,WhatsApp Giulio,SC,Florianopolis,Novo,PIX,5,63,0,5,1,2,Quarta,12,0
66,2024-02-19,5,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,1,890.00,Marketplace Parceiro,PR,Curitiba,Novo,PIX,5,174,0,1,1,2,Terca,10,1
67,2024-03-21,13,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,3,1260.00,Evento Degustacao,RS,Porto Alegre,Recorrente,Cartao Credito,4,332,2,3,1,3,Sexta,7,1
68,2024-08-13,28,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,3,450.00,Evento Degustacao,SP,Sao Paulo,Recorrente,Cartao Credito,3,592,2,2,0,8,Terca,4,0
69,2024-08-03,6,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,2,360.00,Instagram,SC,Florianopolis,Novo,Cartao Credito,4,731,0,3,0,8,Sabado,6,0
70,2025-04-10,2,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,3,930.00,WhatsApp Giulio,RJ,Niteroi,Recorrente,Cartao Debito,4,343,5,5,1,4,Quinta,8,1
71,2024-05-23,14,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,2,2500.00,Site Vinheria,PR,Curitiba,Novo,Cartao Debito,5,413,0,1,1,5,Quinta,11,0
72,2025-03-31,23,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,2,360.00,Marketplace Parceiro,PR,Curitiba,Premium,Cartao Debito,4,243,16,5,0,4,Terca,6,0
73,2024-02-05,13,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,Site Vinheria,RS,Porto Alegre,Recorrente,Cartao Debito,3,332,2,3,0,2,Terca,4,1
74,2024-10-20,14,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Marketplace Parceiro,PR,Curitiba,Novo,Cartao Credito,5,413,0,1,1,10,Segunda,9,0
75,2024-11-14,23,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,WhatsApp Giulio,PR,Curitiba,Premium,Boleto,4,243,16,5,0,11,Sexta,8,0
76,2024-12-08,14,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,1,890.00,Marketplace Parceiro,PR,Curitiba,Novo,Boleto,5,413,0,1,1,12,Segunda,10,1
77,2024-12-29,1,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,2,2500.00,Evento Degustacao,SP,Sao Paulo,Novo,PIX,5,477,0,4,1,12,Segunda,11,1
78,2025-02-11,16,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,1,560.00,Site Vinheria,DF,Brasilia,Recorrente,Cartao Credito,5,85,24,2,1,2,Quarta,12,0
79,2024-06-29,18,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,2,1560.00,Marketplace Parceiro,PE,Recife,Novo,PIX,5,620,0,2,1,6,Sabado,9,0
80,2024-12-22,2,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,2,2500.00,Marketplace Parceiro,RJ,Niteroi,Recorrente,Cartao Debito,5,343,5,5,1,12,Segunda,11,1
81,2024-01-23,29,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Site Vinheria,RJ,Rio de Janeiro,Recorrente,PIX,4,13,17,2,0,1,Quarta,8,0
82,2024-05-18,8,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,3,450.00,Site Vinheria,BA,Salvador,Novo,PIX,3,781,0,2,0,5,Sabado,4,0
83,2025-02-06,19,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,1,420.00,Evento Degustacao,SP,Sao Paulo,Recorrente,Cartao Debito,4,677,5,4,0,2,Sexta,7,0
84,2024-02-29,4,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,1,180.00,Site Vinheria,RS,Gramado,Premium,PIX,4,815,11,1,0,3,Sexta,6,1
85,2024-10-07,20,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,3,2670.00,Evento Degustacao,RJ,Niteroi,Premium,PIX,5,92,1,0,1,10,Terca,10,1
86,2024-09-03,3,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,1,560.00,Marketplace Parceiro,MG,Belo Horizonte,Recorrente,PIX,5,482,7,0,1,9,Terca,12,1
87,2024-12-12,9,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Site Vinheria,PE,Recife,Recorrente,PIX,4,410,6,0,0,12,Sexta,8,1
88,2024-03-12,13,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Instagram,RS,Porto Alegre,Recorrente,PIX,4,332,2,3,0,3,Quarta,8,1
89,2025-01-30,5,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,WhatsApp Giulio,PR,Curitiba,Novo,Cartao Credito,3,174,0,1,0,1,Sexta,4,0
90,2025-04-01,9,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,3,540.00,Site Vinheria,PE,Recife,Recorrente,Cartao Credito,4,410,6,0,1,4,Quarta,6,1
91,2025-02-06,19,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,1,180.00,Site Vinheria,SP,Sao Paulo,Recorrente,Cartao Debito,4,677,5,4,0,2,Sexta,6,1
92,2025-01-05,11,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Site Vinheria,RJ,Rio de Janeiro,Premium,Cartao Credito,5,518,19,3,1,1,Segunda,11,1
93,2024-10-02,9,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Instagram,PE,Recife,Recorrente,Cartao Credito,5,410,6,0,1,10,Quarta,11,1
94,2024-05-01,6,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Marketplace Parceiro,SC,Florianopolis,Novo,Cartao Credito,4,731,0,3,0,5,Quarta,8,0
95,2025-04-19,11,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,1,890.00,Marketplace Parceiro,RJ,Rio de Janeiro,Premium,Cartao Credito,5,518,19,3,1,4,Sabado,10,1
96,2024-08-13,20,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,3,540.00,Evento Degustacao,RJ,Niteroi,Premium,Cartao Debito,4,92,1,0,1,8,Terca,6,1
97,2024-07-09,20,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Instagram,RJ,Niteroi,Premium,Cartao Debito,5,92,1,0,1,7,Terca,9,0
98,2024-07-02,16,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,2,2500.00,Marketplace Parceiro,DF,Brasilia,Recorrente,Cartao Credito,5,85,24,2,1,7,Terca,11,1
99,2024-11-30,2,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,Site Vinheria,RJ,Niteroi,Recorrente,Boleto,4,343,5,5,1,12,Domingo,7,1
100,2024-11-29,20,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,1,420.00,WhatsApp Giulio,RJ,Niteroi,Premium,PIX,4,92,1,0,0,11,Sabado,7,1
101,2024-04-20,14,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Instagram,PR,Curitiba,Novo,Boleto,5,413,0,1,1,4,Sabado,9,0
102,2025-01-29,2,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,4,600.00,Evento Degustacao,RJ,Niteroi,Recorrente,PIX,3,343,5,5,1,1,Quinta,4,1
103,2024-06-18,2,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,Marketplace Parceiro,RJ,Niteroi,Recorrente,PIX,4,343,5,5,1,6,Terca,7,1
104,2024-02-18,20,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Marketplace Parceiro,RJ,Niteroi,Premium,Cartao Debito,5,92,1,0,1,2,Segunda,9,0
105,2025-05-26,4,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Evento Degustacao,RS,Gramado,Premium,PIX,5,815,11,1,1,5,Segunda,11,1
106,2024-02-26,30,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,2,360.00,Instagram,MG,Uberlandia,Recorrente,PIX,4,847,4,2,0,2,Terca,6,1
107,2025-05-20,1,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,4,3560.00,Marketplace Parceiro,SP,Sao Paulo,Novo,PIX,5,477,0,4,1,5,Terca,10,1
108,2025-03-11,6,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Instagram,SC,Florianopolis,Novo,Cartao Credito,4,731,0,3,0,3,Quarta,8,1
109,2024-05-15,1,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,1,180.00,WhatsApp Giulio,SP,Sao Paulo,Novo,PIX,4,477,0,4,0,5,Quarta,6,1
110,2024-02-11,6,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,2,360.00,WhatsApp Giulio,SC,Florianopolis,Novo,PIX,4,731,0,3,0,2,Segunda,6,1
111,2025-04-15,2,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Instagram,RJ,Niteroi,Recorrente,Cartao Debito,5,343,5,5,1,4,Terca,11,1
112,2025-03-09,13,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,Site Vinheria,RS,Porto Alegre,Recorrente,Cartao Credito,4,332,2,3,1,3,Segunda,7,1
113,2024-02-03,3,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,3,930.00,Instagram,MG,Belo Horizonte,Recorrente,PIX,4,482,7,0,1,2,Domingo,8,1
114,2024-02-09,3,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Instagram,MG,Belo Horizonte,Recorrente,Boleto,5,482,7,0,1,2,Sabado,11,1
115,2024-02-29,8,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,1,560.00,WhatsApp Giulio,BA,Salvador,Novo,Cartao Debito,5,781,0,2,1,3,Sexta,12,1
116,2025-03-02,1,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,2,2500.00,Instagram,SP,Sao Paulo,Novo,PIX,5,477,0,4,1,3,Segunda,11,1
117,2024-03-15,23,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,WhatsApp Giulio,PR,Curitiba,Premium,Cartao Credito,5,243,16,5,1,3,Sabado,9,1
118,2024-10-05,14,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Evento Degustacao,PR,Curitiba,Novo,Cartao Credito,4,413,0,1,0,10,Sabado,8,0
119,2025-01-21,4,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,2,1780.00,Marketplace Parceiro,RS,Gramado,Premium,Cartao Debito,5,815,11,1,1,1,Quarta,10,1
120,2024-09-19,10,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Evento Degustacao,SP,Sao Paulo,Novo,PIX,4,899,0,5,0,9,Quinta,8,1
121,2024-01-28,12,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,1,560.00,Evento Degustacao,MG,Uberlandia,Recorrente,PIX,5,343,7,2,1,1,Segunda,12,1
122,2024-08-07,9,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Site Vinheria,PE,Recife,Recorrente,Boleto,4,410,6,0,0,8,Quarta,8,1
123,2025-05-12,8,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,2,300.00,Evento Degustacao,BA,Salvador,Novo,PIX,3,781,0,2,0,5,Segunda,4,0
124,2024-12-18,7,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,Evento Degustacao,DF,Brasilia,Premium,PIX,3,668,2,3,0,12,Quinta,4,1
125,2024-10-29,21,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,3,540.00,WhatsApp Giulio,MG,Belo Horizonte,Recorrente,Cartao Credito,4,347,6,3,1,10,Quarta,6,1
126,2024-08-14,19,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,4,3120.00,Site Vinheria,SP,Sao Paulo,Recorrente,Cartao Credito,5,677,5,4,1,8,Quarta,9,0
127,2024-04-30,3,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Marketplace Parceiro,MG,Belo Horizonte,Recorrente,PIX,4,482,7,0,0,4,Terca,8,1
128,2025-03-11,2,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,1,420.00,Instagram,RJ,Niteroi,Recorrente,PIX,4,343,5,5,0,3,Quarta,7,1
129,2024-11-05,10,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,WhatsApp Giulio,SP,Sao Paulo,Novo,PIX,5,899,0,5,1,11,Quarta,11,1
